Event	ID	Name			Wwise Object Path	Notes
	78981188	Play_Play_Gem			\Default Work Unit\Play_Play_Gem	
	281597619	Play_Locked_Door			\Default Work Unit\Play_Locked_Door	
	453263153	Play_Door_Switch_01			\Default Work Unit\Play_Door_Switch_01	
	645747949	Play_Door_Open_01			\Default Work Unit\Play_Door_Open_01	
	729649122	Play_Indoor_Ambiance			\Default Work Unit\Play_Indoor_Ambiance	
	1136018332	Player_Run			\Default Work Unit\Player_Run	
	1192348102	Play_Hover_Platform			\Default Work Unit\Play_Hover_Platform	
	1230055225	Play_Far_Left_Island			\Default Work Unit\Play_Far_Left_Island	
	1409529853	Play_Ball			\Default Work Unit\Play_Ball	
	1615481189	Play_Outdoor_ambiance_1			\Default Work Unit\Play_Outdoor_ambiance_1	
	1660008929	Play_Door_Open			\Default Work Unit\Play_Door_Open	
	1816880083	Play_Middle_Island			\Default Work Unit\Play_Middle_Island	
	2213986770	Play_Jump_Boost			\Default Work Unit\Play_Jump_Boost	
	2307584948	Play_Play_Coin			\Default Work Unit\Play_Play_Coin	
	2453267296	Play_Victory			\Default Work Unit\Play_Victory	
	2713813216	Play_Error			\Default Work Unit\Play_Error	
	2756138950	Play_Surfaces			\Default Work Unit\Play_Surfaces	
	3079184149	Play_Play_Checkpoint			\Default Work Unit\Play_Play_Checkpoint	
	3286063061	Play_Door_Switch			\Default Work Unit\Play_Door_Switch	
	3819241463	Play_Life_movements			\Default Work Unit\Play_Life_movements	
	3911321608	Play_Right_Island			\Default Work Unit\Play_Right_Island	
	4115239783	Play_Locked_Door_01			\Default Work Unit\Play_Locked_Door_01	
	4146920247	Play_Key_Object			\Default Work Unit\Play_Key_Object	

Switch Group	ID	Name			Wwise Object Path	Notes
	1127519437	Player_Surfaces			\Default Work Unit\Player_Surfaces	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Player_Surfaces			
	2473969246	Metal	Player_Surfaces			
	2637588553	Tile	Player_Surfaces			
	4248645337	Grass	Player_Surfaces			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1493153371	PlayerSpeed			\Default Work Unit\PlayerSpeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	18406024	Error	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Error_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Doors\Error\Error		147140
	28701570	Footstep tile 3	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Footstep tile 3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Surfaces\Play_Tile\Run\Footstep tile 3		79524
	35634750	Footstep Tile 5	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Footstep Tile 5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Surfaces\Play_Tile\Run\Footstep Tile 5		96228
	59755238	Footstep Grass 4	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Footstep Grass 4_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Surfaces\Play_Grass\Run\Footstep Grass 4		113588
	75423021	Footstep Wood 2	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Footstep Wood 2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Surfaces\Play_Wood\Run\Footstep Wood 2		120500
	102449246	Footstep Wood 3	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Footstep Wood 3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Surfaces\Play_Wood\Run\Footstep Wood 3		100432
	168620245	Checkpoint	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Checkpoint_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Checkpoints\Play_Checkpoint\Checkpoint		326084
	177395097	Fabric 1	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Fabric 1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Life movement\Life movements\Fabric 1		233812
	180398813	Right Island	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Right Island_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moveable\Island\Right Island		2035392
	227302318	Far Left Island	Y:\Desktop\Desktop - Susie’s iMac\Final-Of-Code-main\Hour_of_Code_26_WwiseProject\.cache\Mac\SFX\Far Left Island_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Moveable\Island\Far Left Island		2033828
